ID,公司,采样时间,猪种,ApH45min,ApH24h,ApH48h,BpH45min,BpH24h,BpH48h
168,绵阳明兴,2018.12.19,LL,6.09,5.39,5.78,6.17,5.48,5.93
169,绵阳明兴,2018.12.19,LL,5.94,5.54,5.68,5.95,5.25,6.02
170,绵阳明兴,2018.12.19,LL,5.97,5.33,5.89,6.46,5.81,6.4
171,绵阳明兴,2018.12.19,LL,6.22,5.52,5.64,6.26,5.79,6.15
172,绵阳明兴,2018.12.19,LL,6.17,5.46,5.76,6.15,5.7,5.91
173,绵阳明兴,2018.12.19,LL,6.09,5.73,5.59,6.29,6.05,5.83
174,绵阳明兴,2018.12.19,LL,5.91,5.67,5.62,6.47,6.12,5.97
175,绵阳明兴,2018.12.19,YY,6.09,5.19,6.02,5.73,5.62,6.48
176,绵阳明兴,2018.12.19,YY,6.12,5.6,5.7,5.91,5.48,6
177,绵阳明兴,2018.12.19,YY,5.99,5.28,5.66,6.37,5.74,5.84
178,绵阳明兴,2018.12.19,YY,5.47,5.23,5.61,6.15,5.72,5.76
179,绵阳明兴,2018.12.19,YY,6.27,5.76,5.63,6.28,5.73,5.81
181,绵阳明兴,2018.12.19,YY,6.19,5.21,5.63,6.18,5.73,6.11
182,绵阳明兴,2018.12.19,YY,6.22,5.62,5.64,6.01,5.67,5.79
184,绵阳明兴,2018.12.19,YY,6.3,5.29,5.7,6.41,5.86,6.35
185,绵阳明兴,2018.12.19,YY,6.35,6.01,5.71,6.91,6.11,5.9
186,绵阳明兴,2018.12.19,YY,6.66,6.26,5.77,6.48,6.82,6.53
187,绵阳明兴,2018.12.19,YY,6.45,6.24,5.58,6.53,6.4,6.16
188,绵阳明兴,2018.12,LL,5.94,5.49,5.68,6.05,5.73,5.82
189,绵阳明兴,2018.12,LL,6.03,5.67,5.79,6.31,5.92,6.12
190,绵阳明兴,2018.12,LL,6.13,5.66,5.72,6.15,5.77,5.83
191,绵阳明兴,2018.12,LL,6.22,5.83,5.86,6.43,6.3,6.24
192,绵阳明兴,2018.12,LL,6.16,5.65,5.72,6.18,5.81,5.86
193,绵阳明兴,2018.12,LL,6.13,5.61,5.72,6.27,5.81,5.98
195,绵阳明兴,2018.12,LL,6.17,5.51,5.73,6.75,6.51,6.67
196,绵阳明兴,2018.12,LL,6.19,5.76,5.84,6.33,5.89,5.99
197,绵阳明兴,2018.12,LL,7.04,5.37,5.69,6.98,5.82,6.02
198,绵阳明兴,2018.12,LL,6.5,5.73,5.75,6.89,6.95,6.88
199,绵阳明兴,2018.12,LL,6.54,5.81,5.68,6.73,6.38,6.23
200,绵阳明兴,2018.12,LL,6.56,5.46,5.65,6.55,6.1,6.29
201,绵阳明兴,2018.12,LL,6.5,6.15,6.1,6.78,7.05,6.97
202,绵阳明兴,2018.12,LL,6.77,5.9,5.66,6.76,5.73,5.88
203,绵阳明兴,2018.12,LL,6.14,5.72,5.66,6.58,6.44,6.51
204,绵阳明兴,2018.12,LL,6.2,5.82,5.7,6.43,6.63,6.48
205,绵阳明兴,2018.12,LL,6.19,5.95,5.84,6.88,6.25,6.07
206,绵阳明兴,2018.12,LL,6.2,6.03,5.61,6.6,6.25,5.84
208,绵阳明兴,2018.12,YY,6.09,5.71,5.7,6,5.8,5.7
209,绵阳明兴,2018.12,YY,6.2,5.88,5.86,6.58,6.34,6.48
210,绵阳明兴,2018.12,YY,6.33,6.07,6.17,6.79,6.58,6.63
211,绵阳明兴,2018.12,YY,6.25,5.71,6.02,6.49,5.89,6.22
212,绵阳明兴,2018.12,YY,6.19,5.41,5.79,6.38,5.73,5.92
213,绵阳明兴,2018.12,YY,6.33,5.58,5.86,6.65,6.33,6.38
214,绵阳明兴,2018.12,YY,6.24,5.52,5.86,6.58,6.03,6.25
215,绵阳明兴,2018.12,YY,6.31,5.86,5.85,6.49,5.81,5.95
