ID,ApH45min,ApH24h,ApH48h,BpH45min,BpH24h,BpH48h
1,5.90 ,5.52 ,5.54 ,6.63 ,5.97 ,5.87 
2,6.83 ,5.50 ,5.63 ,6.47 ,6.06 ,5.90 
3,6.78 ,5.58 ,5.57 ,6.48 ,5.83 ,5.85 
4,6.43 ,5.60 ,5.62 ,6.60 ,6.25 ,6.09 
5,6.35 ,5.75 ,5.46 ,6.03 ,5.37 ,5.35 
6,6.71 ,5.96 ,5.88 ,6.63 ,6.28 ,6.09 
7,6.73 ,5.97 ,5.95 ,6.09 ,6.38 ,6.31 
8,6.60 ,5.89 ,5.85 ,6.46 ,6.64 ,6.56 
9,7.27 ,6.27 ,5.70 ,6.46 ,6.04 ,5.92 
10,6.49 ,6.25 ,6.23 ,6.27 ,6.50 ,6.46 
11,6.92 ,6.18 ,6.03 ,6.38 ,6.31 ,6.35 
12,7.00 ,5.81 ,5.77 ,6.29 ,6.12 ,6.09 
13,6.31 ,5.76 ,5.70 ,5.94 ,6.61 ,6.59 
14,5.84 ,6.67 ,6.70 ,5.80 ,6.63 ,6.55 
15,6.25 ,6.15 ,6.11 ,5.82 ,6.57 ,6.49 
16,5.94 ,6.33 ,6.29 ,5.89 ,6.60 ,6.60 
17,5.69 ,6.31 ,6.22 ,5.89 ,6.72 ,6.70 
18,5.78 ,6.67 ,6.60 ,5.47 ,6.33 ,6.21 
19,7.10 ,6.31 ,6.21 ,6.44 ,6.21 ,6.22 
20,6.16 ,6.55 ,6.49 ,6.09 ,6.83 ,6.82 
21,5.77 ,6.22 ,6.27 ,5.63 ,6.27 ,6.43 
22,5.88 ,6.46 ,6.42 ,6.12 ,6.96 ,6.86 
23,6.44 ,5.73 ,5.77 ,5.91 ,6.70 ,6.65 
24,6.74 ,6.41 ,6.48 ,6.50 ,6.41 ,6.40 
25,7.08 ,6.09 ,5.68 ,6.56 ,6.05 ,6.02 
26,6.34 ,6.12 ,6.05 ,6.19 ,6.27 ,6.28 
27,6.73 ,6.13 ,5.98 ,6.53 ,6.44 ,6.30 
28,7.01 ,6.02 ,5.93 ,6.45 ,6.44 ,6.31 
29,6.29 ,6.41 ,6.50 ,6.74 ,6.93 ,6.95 
30,6.36 ,6.31 ,6.40 ,4.65 ,6.46 ,6.49 
31,7.07 ,6.30 ,6.08 ,6.76 ,6.75 ,6.46 
32,6.85 ,6.94 ,6.93 ,6.24 ,6.20 ,6.19 
33,6.20 ,5.97 ,5.82 ,6.01 ,6.03 ,5.90 
34,6.70 ,6.32 ,6.19 ,6.66 ,6.71 ,6.72 
35,6.34 ,6.59 ,6.63 ,6.44 ,6.76 ,6.67 
36,5.73 ,5.54 ,5.47 ,6.04 ,6.21 ,6.11 
37,5.41 ,5.55 ,5.43 ,5.81 ,5.96 ,5.85 
38,5.80 ,5.69 ,5.59 ,6.12 ,6.11 ,6.11 
39,6.05 ,5.52 ,5.36 ,6.34 ,6.37 ,6.37 
40,6.25 ,5.81 ,5.58 ,5.95 ,5.90 ,5.79 
41,6.21 ,5.53 ,5.44 ,5.96 ,5.72 ,5.62 
42,5.89 ,5.55 ,5.47 ,6.13 ,6.14 ,6.16 
43,6.26 ,5.64 ,5.41 ,5.97 ,5.95 ,5.87 
44,5.53 ,5.53 ,5.46 ,5.66 ,5.69 ,5.64 
45,5.25 ,5.43 ,5.36 ,5.55 ,5.66 ,5.58 
46,6.03 ,5.63 ,5.55 ,6.04 ,6.12 ,6.08 
47,5.75 ,5.40 ,5.35 ,5.81 ,5.88 ,5.81 
48,5.48 ,5.63 ,5.60 ,5.70 ,5.86 ,5.79 
49,6.11 ,5.56 ,5.55 ,6.14 ,6.32 ,6.31 
50,6.14 ,5.58 ,5.55 ,6.55 ,6.67 ,6.67 
51,6.41 ,5.74 ,5.78 ,6.25 ,6.09 ,6.09 
52,6.14 ,5.69 ,5.63 ,5.89 ,6.02 ,6.02 
53,6.29 ,6.23 ,6.32 ,6.11 ,6.23 ,6.31 
54,5.97 ,6.12 ,6.06 ,6.65 ,6.76 ,6.76 
55,5.47 ,5.53 ,5.53 ,6.77 ,6.86 ,6.83 
56,6.32 ,5.67 ,5.68 ,5.60 ,5.69 ,5.67 
57,5.29 ,5.43 ,5.40 ,5.45 ,5.56 ,5.58 
58,5.80 ,5.50 ,5.48 ,5.46 ,5.56 ,5.54 
59,5.52 ,5.69 ,5.50 ,5.56 ,5.66 ,5.75 
60,6.03 ,5.35 ,5.36 ,5.39 ,5.51 ,5.48 
61,6.25 ,5.48 ,5.50 ,5.72 ,5.83 ,5.86 
62,5.78 ,5.41 ,5.40 ,6.09 ,6.16 ,6.26 
63,5.94 ,5.67 ,5.66 ,6.56 ,6.67 ,6.66 
64,6.22 ,5.50 ,5.38 ,6.02 ,5.52 ,5.51 
65,6.07 ,5.51 ,5.47 ,5.69 ,5.88 ,5.91 
66,6.69 ,5.89 ,5.79 ,6.72 ,5.82 ,5.83 
67,6.54 ,6.07 ,6.05 ,6.61 ,6.04 ,5.94 
