编号,公司/单位,采样/报告时间,猪种,世代划分/特殊处理,耳号,性别/阉割,日龄,体重kg,切肉重, 倒数三四膘厚,胴体全重,计算半胴体重（kg）,左胴体重,右胴体重,半胴体重差值（kg）,前腿重（kg),背腰重（kg）,后腿重（kg）,左侧胴体合计,后腿比例,前腿骨（kg）,前腿肉（kg）,前腿皮脂（kg）,背腰骨（kg）,背腰肉（kg）,背腰皮脂（kg）,后腿骨（kg）,后腿肉（kg）,后腿皮脂（kg）,腿臀重（kg）,腿臀骨重,腿臀肉重,腿臀皮重,骨（kg）,肉（kg）,皮重,皮脂（kg）,屠宰率,体长cm,胴体（斜）长,管围,臀围,体高（cm）,6-7肋处,胸腰结合处,腰荐结合处,肩部最厚处,平均膘厚,6-7肋皮厚mm,眼肌高cm,眼肌宽cm,面积cm2,眼肌厚度（cm2）,板油重kg,瘦肉率1（半胴体）,瘦肉率%,,皮脂率%,骨  率%,腿臀比%,心（kg）,肝（kg）,脾（kg）,肺（kg）,肾（kg）,睾丸（双）,胃加大肠（kg）,内脏总重（kg）,目距（kg）,（半）板油（kg）,板油重kg,肾加板油（kg）,头（kg）,前蹄（kg）,后蹄（kg）,睾丸（kg）,腰肌重（kg）,眼肌重（kg）,肋排（kg）,槽头肉（kg）,梅花（kg）,半腱、半膜（kg）,胸围（cm）,胸宽,胸深,腹围（cm）,背膘厚(mm),耳长（cm),耳宽（cm),头长（cm),头高（cm),嘴长（cm),吻高（cm),吻宽（cm),两眼间内间距,下眼眶至吻突,小肠长（cm),乳头数(对),颈椎长度（cm）,颈椎数目,胸椎长度（cm）,胸椎数目,第1胸椎棘突高cm,腰椎长度（cm）,腰椎数目,第1腰椎棘突高cm,6-7肋肋弓宽cm,肋骨（根）,眼肌pH45min,眼肌pH24h,眼肌pH48h,眼肌pH72h,眼肌pH96h,腰肌pH45min,腰肌pH24h,腰肌pH48h,腰肌pH72h,腰肌pH96h,眼肌肉色L值45min,眼肌肉色a值45min,眼肌肉色b值45min,眼肌肉色L值24h,眼肌肉色a值24h,眼肌肉色b值24h,眼肌肉色L值48h,眼肌肉色a值48h,眼肌肉色b值48h,眼肌肉色L值72h,眼肌肉色a值72h,眼肌肉色b值72h,眼肌肉色L值96h,眼肌肉色a值96h,眼肌肉色b值96h,腰肌肉色L值45min,腰肌肉色a值45min,腰肌肉色b值45min,腰肌肉色L值24h,腰肌肉色a值24h,腰肌肉色b值24h,腰肌肉色L值48h,腰肌肉色a值48h,腰肌肉色b值48h,腰肌肉色L值72h,腰肌肉色a值72h,腰肌肉色b值72h,腰肌肉色L值96h,腰肌肉色a值96h,腰肌肉色b值96h,嫩度(眼),韧性(眼),嫩度(腰),韧性(腰),滴水损失(眼),滴水损失(腰),压水(眼),压水(腰),大理石纹(眼),大理石纹(腰),眼肌力度,眼肌韧度(kg. sec),腰肌力度,腰肌韧度(kg. sec)
1,巴山牧业,2013.8.9,青峪猪,,,母,,90,,,57.46,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6384,79,,,,,2.9,2.11,3.02,3.72,2.95,,8.01,3.51,19.68,,3.32,,0.4446,,0.427,0.1283,0.2444,,,,,,,,,,,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,5.52,5.54,5.54,5.27,6.63,5.97,5.87,5.95,5.9,39.11,17.94,4.85,41.04,16.81,5.86,40.84,14.6,6.76,41.11,18.02,7.02,42.44,13.31,5.57,34.81,17.93,4.9,37.48,16.13,6.37,36.47,12.83,7.06,40.9,20.02,8.07,36.75,16,4.56,5.28,26.72,3.55,42.27,,,,,3.5,,,,,
2,巴山牧业,2013.8.9,青峪猪,,,母,,121,,,80.56,,,,,,,,,,,,,,,,,,,,,,,,,,,66.58%,87,,,,,3.59,2.71,3.69,4.63,3.68,,9.1,3.52,22.42,,3.3,,0.44,,0.4,0.16,30.91%,,,,,,,,,,,330.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.00%,550.00%,563.00%,560.00%,5.77,6.47,6.06,5.9,5.88,5.95,42.23,6.97,2.07,44.06,8.58,6.73,43.37,9.15,6.09,45.09,8.2,4.8,41.91,6.58,5.16,36.09,17.14,3.97,44.19,14.1,6.01,38.1,13.79,4.63,37.41,16.15,4.38,38.68,17.91,5.77,5.07,37.63,4.28,29.89,,,,,3,,,,,
3,巴山牧业,2013.8.9,青峪猪,,,公,,126,,,82.56,,,,,,,,,,,,,,,,,,,,,,,,,,,65.52%,86,,,,,4.59,3.07,4.62,5.21,4.3,,8.25,4.5,25.99,,4.2,,0.44,,0.4104,0.1464,24.78%,,,,,,,,,,,420.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.00%,558.00%,557.00%,566.00%,5.39,6.48,5.83,5.85,5.76,5.87,37.8,10.21,2.55,49.53,13.39,8.58,49.49,10.46,5.75,39.26,10.52,4.25,37.19,10.15,2.95,33.55,19.15,4.83,34.24,15.89,5.54,41.57,19.04,8.88,36.28,17.91,6.01,34.32,20.23,6.92,5.92,29.63,3.34,13.32,,,,,4,,,,,
4,巴山牧业,2013.8.9,青峪猪,,,公,,126,,,79.88,,,,,,,,,,,,,,,,,,,,,,,,,,,63.40%,85,,,,,4,2.8,3.5,4.6,3.63,,9.7,4,27.16,,1.92,,0.47,,0.3941,0.1376,25.28%,,,,,,,,,,,192.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.00%,560.00%,562.00%,568.00%,5.69,6.6,6.25,6.09,6.11,5.99,41.83,14.11,4.05,46.7,9.7,5.17,47.75,13.38,9.6,49.32,12.8,9.07,43.13,11.2,4.86,40.57,19.41,5.59,40.22,16.42,8.11,40.7,14.62,6.97,41.76,16.2,8.59,38.28,15.46,6.08,4.45,20.68,3.83,30.51,,,,,3.5,,,,,
5,巴山牧业,2013.8.9,青峪猪,,,母,,75,,,47.08,,,,,,,,,,,,,,,,,,,,,,,,,,,62.77%,77,,,,,2.6,1.8,1.6,2.6,2,,7.6,3.2,17.02,,3.88,,0.47,,0.3644,0.1636,26.49%,,,,,,,,,,,388.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.00%,575.00%,546.00%,541.00%,5.18,6.03,5.37,5.35,5.31,5.46,36.95,10.99,2.36,43.61,11.93,7.89,44.19,11.07,7.93,45.52,12.15,8.12,44.08,9.14,5.71,31.38,20.98,4.97,37.85,16.17,6.96,42.48,21.22,10.66,37.55,19.56,9.11,37.47,16.36,5.12,4.47,27.46,3.5,12.91,,,,,2.5,,,,,
6,巴山牧业,2013.8.9,青峪猪,,,公,,133,,,84.62,,,,,,,,,,,,,,,,,,,,,,,,,,,63.62%,89,,,,,3,2.3,2.7,4.72,3.24,,8.15,3.16,18.03,,4.68,,0.4584,,0.4053,0.1363,28.47%,,,,,,,,,,,468.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.00%,596.00%,588.00%,579.00%,6.22,6.63,6.28,6.09,6.04,6.21,38.02,7.57,1.44,44.28,7.88,4.88,45.87,6.52,4,44.64,8.37,5.49,42.39,7.62,4.62,37.6,21,6.66,41.4,15.67,8.32,46.77,17.27,11.63,38.11,18.6,10.07,42.49,16.42,6.8,5.2,39.12,4.69,23.3,,,,,3,,,,,
7,巴山牧业,2017.4.20,青峪猪,,,公,180,61.6,,,43.36,,,,,,,,,,,,,,,,,,,,,,,,,,,70.39%,64,,,,,3.09,1.88,2.98,4.36,3.073,,2.78,4.64,12.8992,,0.6,,0.4,,0.5,0.1009,26.01%,,,,,,,,,,,60.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73,5.97,5.95,5.68,,6.09,6.38,6.31,6.32,,48.68,5.77,0.93,53.63,5.9,3.13,52.53,5.77,3.08,56.75,6.53,4.91,,,,,,,,,,,,,,,,,,,9.65,46.65,2.46,7.63,1.65,,,,2,,,,,
8,巴山牧业,2017.4.20,青峪猪,,,母,180,67.2,,,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,64.43%,60,,,,,3.48,3.12,4.27,5,4.13,,3.07,6.2,19.034,,0.95,,0.42,,0.4998,0.0809,25.96%,,,,,,,,,,,95.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,5.89,5.85,5.65,,6.46,6.64,6.56,6.63,,42.08,7.53,0.38,42.39,9.99,3.37,49.82,7.52,3.78,51.28,7.39,4.32,,,,,,,,,,,,,,,,,,,6.43,27.75,3.08,10.54,2.33,,,,3,,,,,
9,巴山牧业,2017.4.20,青峪猪,,,母,180,69.2,,,41.32,,,,,,,,,,,,,,,,,,,,,,,,,,,59.71%,68,,,,,2.72,1.91,2.46,3.6,2.657,,2.1,7.73,16.233,,0.72,,0.47,,0.4063,0.1202,26.33%,,,,,,,,,,,72.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.00%,627.00%,570.00%,586.00%,,6.46,6.04,5.92,5.66,,44.86,11.42,1.06,48.29,10.4,2.92,52.64,10.21,4.01,37.33,12.14,6.6,,,,,,,,,,,,,,,,,,,3.5,14.83,3.47,15.18,2.28,,,,3,,,,,
10,巴山牧业,2017.4.20,青峪猪,,,公,180,76.7,,,51.58,,,,,,,,,,,,,,,,,,,,,,,,,,,67.25%,66,,,,,3.8,1.96,2.75,5.45,3.387,,2.5,7.26,18.15,,1.35,,0.43,,0.4923,0.0803,25.51%,,,,,,,,,,,135.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649.00%,625.00%,623.00%,617.00%,,6.27,6.5,6.46,6.53,,42.38,8.28,0.03,50.34,10.2,5.57,44.3,15.62,5.13,49.67,8.26,3.48,,,,,,,,,,,,,,,,,,,4.63,19.32,5.13,24.9,1.36,,,,2.5,,,,,
